sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch
SX104,auditory,1,-2,1,practice_05,practice_10,irrelevant,object,right,object_18,1.5,0.966666667,0,1.5,offset,1000
SX104,auditory,1,-2,2,practice_05,practice_10,target,letter,center,practice_10,0.5,0.9,0.116,0.116,onset,1000
SX104,auditory,1,-2,3,practice_05,practice_10,non-target,letter,left,letter_03,1.5,0.913333333,0,1.5,offset,1000
SX104,auditory,1,-2,4,practice_05,practice_10,irrelevant,object,center,object_11,0.5,1.273333333,0,0.5,offset,1000
SX104,auditory,1,-2,5,practice_05,practice_10,non-target,letter,center,letter_11,1.5,0.726666667,0.116,0.116,onset,1100
SX104,auditory,1,-2,6,practice_05,practice_10,non-target,letter,center,letter_01,1,0.94,0,0,onset,1100
SX104,auditory,1,-2,7,practice_05,practice_10,non-target,false_font,left,false_font_06,1.5,0.806666667,0.116,1.616,offset,1000
SX104,auditory,1,-2,8,practice_05,practice_10,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100
SX104,auditory,1,-2,9,practice_05,practice_10,irrelevant,face,left,face_08,1.5,0.74,0,0,onset,1100
SX104,auditory,1,-2,10,practice_05,practice_10,irrelevant,object,center,object_01,0.5,1.273333333,0.466,0.466,onset,1000
SX104,auditory,1,-2,11,practice_05,practice_10,non-target,false_font,center,false_font_05,1,0.806666667,0.466,0.466,onset,1100
SX104,auditory,1,-2,12,practice_05,practice_10,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000
SX104,auditory,1,-2,13,practice_05,practice_10,target,false_font,right,practice_05,1,1.193333333,0.466,0.466,onset,1100
SX104,auditory,1,-2,14,practice_05,practice_10,non-target,letter,left,letter_10,1,0.94,0.116,1.116,offset,1100
SX104,auditory,1,-2,15,practice_05,practice_10,non-target,false_font,left,false_font_13,0.5,1.713333333,0.232,0.732,offset,1000
SX104,auditory,1,-2,16,practice_05,practice_10,non-target,letter,right,letter_13,0.5,0.806666667,0.116,0.616,offset,1000
SX104,auditory,1,-2,17,practice_05,practice_10,non-target,false_font,right,false_font_07,1.5,0.966666667,0.232,1.732,offset,1100
SX104,auditory,1,-2,18,practice_05,practice_10,non-target,false_font,center,false_font_01,1.5,0.78,0.232,0.232,onset,1100
SX104,auditory,1,-2,19,practice_05,practice_10,irrelevant,face,left,face_08,1,1.713333333,0.232,1.232,offset,1100
SX104,auditory,1,-2,20,practice_05,practice_10,irrelevant,face,center,face_19,1.5,0.833333333,0.466,1.966,offset,1000
